Table: Links
Local IP	Remote IP	VTime	LQ	NLQ	Cost
Table: Neighbors
IP address	SYM	MPR	MPRS	Will.	2 Hop Neighbors
10.254.129.97	YES	NO	YES	3	0
10.254.129.129	YES	NO	YES	3	0
10.254.128.1	YES	YES	YES	3	1
10.254.130.161	YES	NO	YES	3	0
10.254.132.193	YES	NO	YES	3	0
10.254.134.1	YES	YES	YES	3	6
10.254.131.193	YES	NO	YES	3	1
10.254.135.161	YES	NO	YES	3	1
10.254.136.97	YES	NO	YES	3	1
10.254.135.193	YES	NO	YES	3	2
10.254.133.129	YES	NO	YES	3	0
10.254.133.33	YES	NO	YES	3	1
10.254.131.161	YES	YES	YES	3	7
10.254.134.97	YES	NO	YES	3	0
10.254.131.65	YES	NO	YES	3	0
10.254.131.129	YES	YES	YES	3	6
10.254.134.33	YES	NO	YES	3	0
10.254.131.1	YES	NO	YES	3	1
10.254.128.225	YES	YES	YES	3	3
10.254.132.65	YES	NO	YES	3	0
10.254.135.225	YES	NO	YES	3	1
10.254.134.65	YES	YES	YES	3	4
10.254.0.10	YES	NO	YES	1	0
10.14.0.1	YES	YES	YES	3	3
10.254.129.225	YES	NO	YES	3	0
10.254.128.65	YES	YES	YES	3	1
10.254.133.65	YES	NO	YES	3	0
10.254.135.33	YES	NO	YES	3	1
10.254.128.97	YES	NO	YES	3	0
10.254.128.129	YES	NO	YES	3	1

Table: Topology
Dest. IP	Last hop IP	LQ	NLQ	Cost	VTime
10.254.0.1	10.14.0.1	1.000	0.191	5.203	316.728
10.14.127.4	10.14.0.1	1.000	1.000	1.000	316.728
10.14.0.10	10.14.0.1	1.000	1.000	1.000	316.728
10.14.127.10	10.14.0.1	1.000	1.000	1.000	316.728
10.14.0.1	10.254.0.1	0.191	1.000	5.203	0.000
10.254.128.1	10.254.0.1	1.000	1.000	1.000	0.000
10.254.131.1	10.254.0.1	1.000	1.000	1.000	0.000
10.254.134.1	10.254.0.1	1.000	0.796	1.256	0.000
10.254.0.10	10.254.0.1	1.000	1.000	1.000	0.000
10.254.133.33	10.254.0.1	1.000	1.000	1.000	0.000
10.254.134.33	10.254.0.1	1.000	0.796	1.256	0.000
10.254.135.33	10.254.0.1	1.000	0.952	1.049	0.000
10.254.128.65	10.254.0.1	1.000	0.796	1.256	0.000
10.254.131.65	10.254.0.1	1.000	0.796	1.256	0.000
10.254.132.65	10.254.0.1	1.000	1.000	1.000	0.000
10.254.133.65	10.254.0.1	1.000	0.796	1.256	0.000
10.254.134.65	10.254.0.1	1.000	0.796	1.256	0.000
10.254.128.97	10.254.0.1	1.000	0.765	1.308	0.000
10.254.129.97	10.254.0.1	1.000	0.761	1.313	0.000
10.254.134.97	10.254.0.1	1.000	0.761	1.313	0.000
10.254.136.97	10.254.0.1	1.000	1.000	1.000	0.000
10.254.128.129	10.254.0.1	1.000	0.796	1.256	0.000
10.254.129.129	10.254.0.1	1.000	0.765	1.308	0.000
10.254.131.129	10.254.0.1	0.894	0.796	1.404	0.000
10.254.133.129	10.254.0.1	0.960	0.796	1.307	0.000
10.254.130.161	10.254.0.1	1.000	1.000	1.000	0.000
10.254.131.161	10.254.0.1	1.000	0.796	1.256	0.000
10.254.135.161	10.254.0.1	1.000	0.796	1.256	0.000
10.254.131.193	10.254.0.1	1.000	1.000	1.000	0.000
10.254.132.193	10.254.0.1	1.000	1.000	1.000	0.000
10.254.135.193	10.254.0.1	1.000	0.796	1.256	0.000
10.254.128.225	10.254.0.1	1.000	1.000	1.000	0.000
10.254.129.225	10.254.0.1	1.000	1.000	1.000	0.000
10.254.135.225	10.254.0.1	1.000	0.796	1.256	0.000
10.254.0.1	10.254.128.1	1.000	1.000	1.000	150.857
10.254.128.33	10.254.128.1	1.000	1.000	1.000	150.857
10.254.0.1	10.254.131.1	1.000	1.000	1.000	153.764
10.254.128.33	10.254.131.1	0.713	0.878	1.595	153.764
10.254.0.1	10.254.134.1	0.796	1.000	1.256	147.125
10.254.132.97	10.254.134.1	0.450	0.102	21.747	147.125
10.254.131.129	10.254.134.1	0.948	0.948	1.109	147.125
10.254.134.129	10.254.134.1	0.894	0.313	3.564	147.125
10.14.0.1	10.14.127.4	1.000	1.000	1.000	26.083
10.14.127.10	10.14.127.4	1.000	1.000	1.000	26.083
10.14.0.1	10.14.0.10	1.000	1.000	1.000	155.623
10.14.0.11	10.14.0.10	0.847	0.905	1.303	155.623
10.254.0.1	10.254.0.10	1.000	1.000	1.000	156.040
10.14.0.1	10.14.127.10	1.000	1.000	1.000	48.596
10.14.127.4	10.14.127.10	1.000	1.000	1.000	48.596
10.14.0.10	10.14.0.11	0.909	0.858	1.279	245.027
10.14.0.12	10.14.0.11	1.000	1.000	1.000	245.027
10.14.0.15	10.14.0.11	0.819	0.607	2.007	245.027
10.254.128.225	10.14.0.11	0.372	0.615	4.359	245.027
10.14.0.11	10.14.0.12	1.000	1.000	1.000	250.442
10.254.134.65	10.14.0.12	0.195	0.168	30.244	250.442
10.14.0.11	10.14.0.15	0.607	0.765	2.150	243.996
10.254.128.1	10.254.128.33	1.000	1.000	1.000	151.850
10.254.131.1	10.254.128.33	0.921	0.713	1.520	151.850
10.254.135.193	10.254.128.33	1.000	0.839	1.191	151.850
10.254.134.65	10.254.130.33	0.588	0.580	2.929	132.242
10.254.130.65	10.254.131.33	0.329	0.541	5.609	151.767
10.254.135.65	10.254.131.33	1.000	1.000	1.000	151.767
10.254.131.129	10.254.131.33	0.627	0.607	2.621	151.767
10.254.131.161	10.254.131.33	1.000	0.952	1.049	151.767
10.254.132.97	10.254.132.33	0.796	0.298	4.214	152.742
10.254.131.129	10.254.132.33	0.796	1.000	1.256	152.742
10.254.134.129	10.254.132.33	1.000	0.521	1.917	152.742
10.254.0.1	10.254.133.33	1.000	1.000	1.000	154.406
10.254.136.97	10.254.133.33	1.000	1.000	1.000	154.406
10.254.0.1	10.254.134.33	0.796	1.000	1.256	151.418
10.254.0.1	10.254.135.33	0.952	1.000	1.049	157.059
10.254.128.225	10.254.135.33	0.646	1.000	1.545	157.059
10.254.0.1	10.254.128.65	0.796	1.000	1.256	153.722
10.254.129.193	10.254.128.65	0.639	0.769	2.035	153.722
10.254.131.33	10.254.130.65	0.662	0.329	4.580	150.713
10.254.135.65	10.254.130.65	0.686	0.380	3.830	150.713
10.254.131.161	10.254.130.65	0.909	0.415	2.644	150.713
10.254.0.1	10.254.131.65	0.796	1.000	1.256	156.765
10.254.0.1	10.254.132.65	1.000	1.000	1.000	151.779
10.254.0.1	10.254.133.65	0.796	1.000	1.256	157.295
10.254.0.1	10.254.134.65	0.796	1.000	1.256	151.690
10.14.0.12	10.254.134.65	0.117	0.102	83.365	151.690
10.254.130.33	10.254.134.65	0.450	0.588	3.770	151.690
10.254.131.193	10.254.134.65	0.905	0.607	1.815	151.690
10.254.132.225	10.254.134.65	0.831	1.000	1.202	151.690
10.254.131.33	10.254.135.65	1.000	1.000	1.000	153.594
10.254.130.65	10.254.135.65	0.450	0.686	3.230	153.594
10.254.131.161	10.254.135.65	1.000	1.000	1.000	153.594
10.254.0.1	10.254.128.97	0.765	1.000	1.308	152.442
10.254.0.1	10.254.129.97	0.761	1.000	1.313	245.721
10.254.134.1	10.254.132.97	0.102	0.164	59.546	153.636
10.254.132.33	10.254.132.97	0.345	0.815	3.552	153.636
10.254.134.129	10.254.132.97	0.627	0.905	1.759	153.636
10.254.0.1	10.254.134.97	0.761	1.000	1.313	155.189
10.254.0.1	10.254.136.97	1.000	1.000	1.000	152.185
10.254.133.33	10.254.136.97	1.000	0.897	1.113	152.185
10.254.0.1	10.254.128.129	0.796	1.000	1.256	154.705
10.254.135.161	10.254.128.129	0.713	0.611	2.290	154.705
10.254.0.1	10.254.129.129	0.765	1.000	1.308	250.576
10.254.0.1	10.254.131.129	0.796	1.000	1.256	157.715
10.254.134.1	10.254.131.129	0.948	0.948	1.109	157.715
10.254.131.33	10.254.131.129	0.646	0.627	2.463	157.715
10.254.132.33	10.254.131.129	1.000	0.788	1.269	157.715
10.254.134.129	10.254.131.129	0.682	0.195	7.474	157.715
10.254.0.1	10.254.133.129	0.796	0.862	1.455	245.339
10.254.134.1	10.254.134.129	0.349	0.886	3.232	151.202
10.254.132.33	10.254.134.129	0.643	1.000	1.555	151.202
10.254.132.97	10.254.134.129	0.897	0.627	1.774	151.202
10.254.131.129	10.254.134.129	0.195	0.929	5.487	151.202
10.254.0.1	10.254.130.161	1.000	1.000	1.000	150.369
10.254.0.1	10.254.131.161	0.796	1.000	1.256	150.708
10.254.131.33	10.254.131.161	0.901	1.000	1.108	150.708
10.254.130.65	10.254.131.161	0.427	0.909	2.571	150.708
10.254.135.65	10.254.131.161	1.000	1.000	1.000	150.708
10.254.0.1	10.254.135.161	0.796	1.000	1.256	149.576
10.254.128.129	10.254.135.161	0.611	0.748	2.182	149.576
10.254.128.225	10.254.128.193	1.000	0.843	1.186	138.617
10.254.128.65	10.254.129.193	0.769	0.713	1.822	155.258
10.254.0.1	10.254.131.193	1.000	1.000	1.000	153.101
10.254.134.65	10.254.131.193	0.607	0.796	2.066	153.101
10.254.0.1	10.254.132.193	1.000	1.000	1.000	149.527
10.254.0.1	10.254.135.193	0.796	1.000	1.256	156.060
10.254.128.33	10.254.135.193	0.839	1.000	1.191	156.060
10.254.135.225	10.254.135.193	1.000	1.000	1.000	156.060
10.254.0.1	10.254.128.225	1.000	1.000	1.000	157.969
10.14.0.11	10.254.128.225	0.701	0.310	4.598	157.969
10.254.135.33	10.254.128.225	1.000	0.725	1.378	157.969
10.254.128.193	10.254.128.225	0.697	0.952	1.503	157.969
10.254.0.1	10.254.129.225	1.000	1.000	1.000	150.425
10.254.134.65	10.254.132.225	1.000	0.831	1.202	152.570
10.254.0.1	10.254.135.225	0.796	1.000	1.256	153.880
10.254.135.193	10.254.135.225	1.000	1.000	1.000	153.880

Table: HNA
Destination	Gateway	VTime
10.50.0.0/16	10.254.0.1
10.2.0.0/16	10.254.0.1
10.64.0.0/11	10.254.0.1
10.32.0.0/11	10.254.0.1
10.16.0.0/12	10.254.0.1
10.15.0.0/16	10.254.0.1
10.13.0.0/16	10.254.0.1
10.12.0.0/16	10.254.0.1
10.8.0.0/14	10.254.0.1
10.0.0.0/13	10.254.0.1
10.14.0.2/32	10.254.0.1
10.254.0.2/32	10.254.0.1
10.254.119.128/25	10.254.0.1
0.0.0.0/0	10.254.0.1
10.254.132.96/27	10.254.132.97	318.048
10.254.129.96/27	10.254.129.97	103.265
10.254.129.128/27	10.254.129.129	95.629
10.254.128.0/27	10.254.128.1	157.474
10.254.130.160/27	10.254.130.161	294.958
10.254.132.192/27	10.254.132.193	299.281
10.254.128.192/27	10.254.128.193	272.050
10.254.134.0/27	10.254.134.1	304.100
10.254.135.160/27	10.254.135.161	299.944
10.254.131.192/27	10.254.131.193	305.437
10.254.136.96/27	10.254.136.97	306.760
10.254.135.192/27	10.254.135.193	302.793
10.254.128.32/27	10.254.128.33	297.374
10.14.126.0/24	10.14.127.10	89.812
192.168.254.0/24	10.14.127.10	89.382
10.254.133.128/27	10.254.133.129	103.921
10.254.130.32/27	10.254.130.33	283.509
10.254.133.32/27	10.254.133.33	315.994
10.254.131.32/27	10.254.131.33	317.021
10.254.135.128/27	10.254.131.33	302.777
10.254.131.160/27	10.254.131.161	309.356
10.254.134.96/27	10.254.134.97	303.516
10.254.132.32/27	10.254.132.33	316.304
10.254.131.64/27	10.254.131.65	318.041
10.254.131.128/27	10.254.131.129	309.345
10.254.130.64/27	10.254.130.65	315.762
10.254.131.96/27	10.254.130.65	317.631
10.16.202.192/27	10.14.0.10	156.657
10.254.132.224/27	10.254.132.225	314.920
10.254.133.0/27	10.254.132.225	309.549
10.254.134.32/27	10.254.134.33	310.850
10.254.131.0/27	10.254.131.1	308.497
10.254.128.224/27	10.254.128.225	309.416
10.254.129.192/27	10.254.129.193	298.674
10.254.132.64/27	10.254.132.65	300.867
10.254.135.224/27	10.254.135.225	315.721
10.254.134.64/27	10.254.134.65	306.599
10.63.0.0/16	10.14.0.1	27.805
10.11.0.0/18	10.14.0.1	27.835
10.18.0.0/16	10.14.0.1	27.963
10.14.100.0/24	10.14.0.1	28.566
10.14.128.0/21	10.14.0.1	27.537
10.14.132.128/27	10.14.0.1	27.767
10.14.132.129/32	10.14.0.1	27.239
172.22.0.0/15	10.14.0.1	27.449
104.128.0.0/9	10.14.0.1	28.017
104.64.0.0/10	10.14.0.1	27.445
104.32.0.0/12	10.14.0.1	28.025
104.0.0.0/11	10.14.0.1	27.645
10.200.0.0/16	10.14.0.1	27.194
10.254.129.224/27	10.254.129.225	313.148
10.254.128.64/27	10.254.128.65	157.990
10.254.133.64/27	10.254.133.65	308.117
10.254.133.96/27	10.254.133.65	311.429
10.254.134.128/27	10.254.134.129	301.615
10.254.135.32/27	10.254.135.33	314.335
10.254.128.96/27	10.254.128.97	315.211
10.254.128.128/27	10.254.128.129	302.987

Table: MID
IP address	Alias	VTime
10.254.130.161	10.254.130.162	313.760
10.254.130.161	10.254.130.163	313.760
10.254.132.193	10.254.132.194	314.279
10.254.134.1	10.254.134.2	319.584
10.254.131.193	10.254.131.194	319.584
10.254.131.193	10.254.131.195	319.584
10.254.135.161	10.254.135.162	317.712
10.254.136.97	10.254.136.99	318.232
10.254.136.97	10.254.136.98	318.232
10.254.135.193	10.254.135.194	314.279
10.254.128.33	10.254.128.34	311.888
10.254.133.33	10.254.133.34	317.712
10.254.133.33	10.254.133.35	317.712
10.254.131.33	10.254.131.34	319.481
10.254.131.161	10.254.131.162	319.375
10.254.134.97	10.254.134.98	318.648
10.254.134.97	10.254.134.99	318.648
10.254.131.65	10.254.131.66	317.712
10.254.131.129	10.254.131.130	314.279
10.254.130.65	10.254.130.66	319.481
10.254.132.225	10.254.132.226	317.712
10.254.134.33	10.254.134.34	306.584
10.254.131.1	10.254.131.2	319.584
10.254.128.225	10.254.128.226	313.760
10.254.129.193	10.254.129.195	302.944
10.254.132.65	10.254.132.66	306.584
10.254.135.225	10.254.135.226	319.584
10.254.134.65	10.254.134.66	313.760
10.14.0.1	10.14.127.1	28.232
10.254.129.225	10.254.129.226	314.279
10.254.133.65	10.254.133.67	318.232
10.254.133.65	10.254.133.66	318.232
10.254.134.129	10.254.134.130	309.912
10.254.135.33	10.254.135.34	319.064
10.254.128.97	10.254.128.98	309.912
10.254.128.129	10.254.128.130	314.279

Table: Routes
Destination	Gateway IP	Metric	ETX	Interface
10.11.0.0/18	10.14.0.1	1	5.203	tap1	
10.14.0.1/32	10.14.0.1	1	5.203	tap1	
10.14.0.10/32	10.14.0.1	2	6.203	tap1	
10.14.0.11/32	10.254.128.226	2	5.598	tap0	
10.14.0.12/32	10.254.128.226	3	6.598	tap0	
10.14.0.15/32	10.254.128.226	3	7.604	tap0	
10.14.100.0/24	10.14.0.1	1	5.203	tap1	
10.14.126.0/24	10.14.0.1	2	6.203	tap1	
10.14.127.1/32	10.14.0.1	1	5.203	tap1	
10.14.127.4/32	10.14.0.1	2	6.203	tap1	
10.14.127.10/32	10.14.0.1	2	6.203	tap1	
10.14.128.0/21	10.14.0.1	1	5.203	tap1	
10.14.132.128/27	10.14.0.1	1	5.203	tap1	
10.14.132.129/32	10.14.0.1	1	5.203	tap1	
10.16.202.192/27	10.14.0.1	2	6.203	tap1	
10.18.0.0/16	10.14.0.1	1	5.203	tap1	
10.63.0.0/16	10.14.0.1	1	5.203	tap1	
10.200.0.0/16	10.14.0.1	1	5.203	tap1	
10.254.0.10/32	10.254.0.10	1	1.000	tap0	
10.254.128.0/27	10.254.128.1	1	1.000	tap0	
10.254.128.1/32	10.254.128.1	1	1.000	tap0	
10.254.128.32/27	10.254.128.1	2	2.000	tap0	
10.254.128.33/32	10.254.128.1	2	2.000	tap0	
10.254.128.34/32	10.254.128.1	2	2.000	tap0	
10.254.128.64/27	10.254.128.65	1	1.256	tap0	
10.254.128.65/32	10.254.128.65	1	1.256	tap0	
10.254.128.96/27	10.254.128.98	1	1.308	tap0	
10.254.128.97/32	10.254.128.98	1	1.308	tap0	
10.254.128.98/32	10.254.128.98	1	1.308	tap0	
10.254.128.128/27	10.254.128.130	1	1.256	tap0	
10.254.128.129/32	10.254.128.130	1	1.256	tap0	
10.254.128.130/32	10.254.128.130	1	1.256	tap0	
10.254.128.192/27	10.254.128.226	2	2.503	tap0	
10.254.128.193/32	10.254.128.226	2	2.503	tap0	
10.254.128.224/27	10.254.128.226	1	1.000	tap0	
10.254.128.225/32	10.254.128.226	1	1.000	tap0	
10.254.128.226/32	10.254.128.226	1	1.000	tap0	
10.254.129.96/27	10.254.129.97	1	1.313	tap0	
10.254.129.97/32	10.254.129.97	1	1.313	tap0	
10.254.129.128/27	10.254.129.129	1	1.308	tap0	
10.254.129.129/32	10.254.129.129	1	1.308	tap0	
10.254.129.192/27	10.254.128.65	2	3.291	tap0	
10.254.129.193/32	10.254.128.65	2	3.291	tap0	
10.254.129.195/32	10.254.128.65	2	3.291	tap0	
10.254.129.224/27	10.254.129.226	1	1.000	tap0	
10.254.129.225/32	10.254.129.226	1	1.000	tap0	
10.254.129.226/32	10.254.129.226	1	1.000	tap0	
10.254.130.32/27	10.254.134.66	2	5.025	tap0	
10.254.130.33/32	10.254.134.66	2	5.025	tap0	
10.254.130.64/27	10.254.131.162	2	3.827	tap0	
10.254.130.65/32	10.254.131.162	2	3.827	tap0	
10.254.130.66/32	10.254.131.162	2	3.827	tap0	
10.254.130.160/27	10.254.130.162	1	1.000	tap0	
10.254.130.161/32	10.254.130.162	1	1.000	tap0	
10.254.130.162/32	10.254.130.162	1	1.000	tap0	
10.254.130.163/32	10.254.130.162	1	1.000	tap0	
10.254.131.0/27	10.254.131.2	1	1.000	tap0	
10.254.131.1/32	10.254.131.2	1	1.000	tap0	
10.254.131.2/32	10.254.131.2	1	1.000	tap0	
10.254.131.32/27	10.254.131.162	2	2.364	tap0	
10.254.131.33/32	10.254.131.162	2	2.364	tap0	
10.254.131.34/32	10.254.131.162	2	2.364	tap0	
10.254.131.64/27	10.254.131.66	1	1.256	tap0	
10.254.131.65/32	10.254.131.66	1	1.256	tap0	
10.254.131.66/32	10.254.131.66	1	1.256	tap0	
10.254.131.96/27	10.254.131.162	2	3.827	tap0	
10.254.131.128/27	10.254.131.130	1	1.404	tap0	
10.254.131.129/32	10.254.131.130	1	1.404	tap0	
10.254.131.130/32	10.254.131.130	1	1.404	tap0	
10.254.131.160/27	10.254.131.162	1	1.256	tap0	
10.254.131.161/32	10.254.131.162	1	1.256	tap0	
10.254.131.162/32	10.254.131.162	1	1.256	tap0	
10.254.131.192/27	10.254.131.194	1	1.000	tap0	
10.254.131.193/32	10.254.131.194	1	1.000	tap0	
10.254.131.194/32	10.254.131.194	1	1.000	tap0	
10.254.131.195/32	10.254.131.194	1	1.000	tap0	
10.254.132.32/27	10.254.131.130	2	2.673	tap0	
10.254.132.33/32	10.254.131.130	2	2.673	tap0	
10.254.132.64/27	10.254.132.66	1	1.000	tap0	
10.254.132.65/32	10.254.132.66	1	1.000	tap0	
10.254.132.66/32	10.254.132.66	1	1.000	tap0	
10.254.132.96/27	10.254.131.130	4	6.364	tap0	
10.254.132.97/32	10.254.131.130	4	6.364	tap0	
10.254.132.192/27	10.254.132.194	1	1.000	tap0	
10.254.132.193/32	10.254.132.194	1	1.000	tap0	
10.254.132.194/32	10.254.132.194	1	1.000	tap0	
10.254.132.224/27	10.254.134.66	2	2.458	tap0	
10.254.132.225/32	10.254.134.66	2	2.458	tap0	
10.254.132.226/32	10.254.134.66	2	2.458	tap0	
10.254.133.0/27	10.254.134.66	2	2.458	tap0	
10.254.133.32/27	10.254.133.34	1	1.000	tap0	
10.254.133.33/32	10.254.133.34	1	1.000	tap0	
10.254.133.34/32	10.254.133.34	1	1.000	tap0	
10.254.133.35/32	10.254.133.34	1	1.000	tap0	
10.254.133.64/27	10.254.133.66	1	1.256	tap0	
10.254.133.65/32	10.254.133.66	1	1.256	tap0	
10.254.133.66/32	10.254.133.66	1	1.256	tap0	
10.254.133.67/32	10.254.133.66	1	1.256	tap0	
10.254.133.96/27	10.254.133.66	1	1.256	tap0	
10.254.133.128/27	10.254.133.129	1	1.307	tap0	
10.254.133.129/32	10.254.133.129	1	1.307	tap0	
10.254.134.0/27	10.254.134.2	1	1.256	tap0	
10.254.134.1/32	10.254.134.2	1	1.256	tap0	
10.254.134.2/32	10.254.134.2	1	1.256	tap0	
10.254.134.32/27	10.254.134.34	1	1.256	tap0	
10.254.134.33/32	10.254.134.34	1	1.256	tap0	
10.254.134.34/32	10.254.134.34	1	1.256	tap0	
10.254.134.64/27	10.254.134.66	1	1.256	tap0	
10.254.134.65/32	10.254.134.66	1	1.256	tap0	
10.254.134.66/32	10.254.134.66	1	1.256	tap0	
10.254.134.96/27	10.254.134.99	1	1.313	tap0	
10.254.134.97/32	10.254.134.99	1	1.313	tap0	
10.254.134.98/32	10.254.134.99	1	1.313	tap0	
10.254.134.99/32	10.254.134.99	1	1.313	tap0	
10.254.134.128/27	10.254.131.130	3	4.590	tap0	
10.254.134.129/32	10.254.131.130	3	4.590	tap0	
10.254.134.130/32	10.254.131.130	3	4.590	tap0	
10.254.135.32/27	10.254.135.34	1	1.049	tap0	
10.254.135.33/32	10.254.135.34	1	1.049	tap0	
10.254.135.34/32	10.254.135.34	1	1.049	tap0	
10.254.135.65/32	10.254.131.162	2	2.256	tap0	
10.254.135.128/27	10.254.131.162	2	2.364	tap0	
10.254.135.160/27	10.254.135.162	1	1.256	tap0	
10.254.135.161/32	10.254.135.162	1	1.256	tap0	
10.254.135.162/32	10.254.135.162	1	1.256	tap0	
10.254.135.192/27	10.254.135.194	1	1.256	tap0	
10.254.135.193/32	10.254.135.194	1	1.256	tap0	
10.254.135.194/32	10.254.135.194	1	1.256	tap0	
10.254.135.224/27	10.254.135.226	1	1.256	tap0	
10.254.135.225/32	10.254.135.226	1	1.256	tap0	
10.254.135.226/32	10.254.135.226	1	1.256	tap0	
10.254.136.96/27	10.254.136.98	1	1.000	tap0	
10.254.136.97/32	10.254.136.98	1	1.000	tap0	
10.254.136.98/32	10.254.136.98	1	1.000	tap0	
10.254.136.99/32	10.254.136.98	1	1.000	tap0	
104.0.0.0/11	10.14.0.1	1	5.203	tap1	
104.32.0.0/12	10.14.0.1	1	5.203	tap1	
104.64.0.0/10	10.14.0.1	1	5.203	tap1	
104.128.0.0/9	10.14.0.1	1	5.203	tap1	
172.22.0.0/15	10.14.0.1	1	5.203	tap1	
192.168.254.0/24	10.14.0.1	2	6.203	tap1	

